code,decoder,distance,rounds,physical_error_probability,shots,logical_errors_without_decoding,logical_errors_with_decoding,logical_error_rate_without_decoding,logical_error_rate_with_decoding
surface_code,nv-qldpc-decoder,3,3,0.001,1000,15,8,0.015,0.008
surface_code,nv-qldpc-decoder,3,3,0.003,1000,45,27,0.045,0.027
surface_code,nv-qldpc-decoder,3,3,0.005,1000,62,32,0.062,0.032
surface_code,nv-qldpc-decoder,3,3,0.01,1000,106,61,0.106,0.061
surface_code,nv-qldpc-decoder,3,3,0.03,1000,261,222,0.261,0.222
surface_code,nv-qldpc-decoder,3,3,0.05,1000,378,349,0.378,0.349
surface_code,nv-qldpc-decoder,3,3,0.1,1000,493,496,0.493,0.496
surface_code,nv-qldpc-decoder,5,5,0.001,1000,45,9,0.045,0.009
surface_code,nv-qldpc-decoder,5,5,0.003,1000,111,44,0.111,0.044
surface_code,nv-qldpc-decoder,5,5,0.005,1000,174,80,0.174,0.08
surface_code,nv-qldpc-decoder,5,5,0.01,1000,304,172,0.304,0.172
surface_code,nv-qldpc-decoder,5,5,0.03,1000,447,433,0.447,0.433
surface_code,nv-qldpc-decoder,5,5,0.05,1000,515,520,0.515,0.52
surface_code,nv-qldpc-decoder,5,5,0.1,1000,501,504,0.501,0.504
